Tournament,Prize Pool
DreamHack Winter 2013,250000
EMS One Katowice 2014,250000
ESL One Cologne 2014,250000
DreamHack Winter 2014,250000
ESL One Katowice 2015,250000
ESL One Cologne 2015,250000
MLG Columbus 2016,1000000
ESL One Cologne 2016,1000000
ELEAGUE Major 2017,1000000
PGL Major Kraków 2017,1000000
ELEAGUE Major Boston 2018,1000000
FACEIT Major London 2018,1000000
IEM Katowice 2019,1000000
StarLadder Berlin Major 2019,1000000
PGL Major Stockholm 2021,2000000
PGL Major Antwerp 2022,1000000
IEM Rio Major 2022,1250000
BLAST.tv Paris Major 2023,1250000
